[LOG]
229=18/03/2010 11:35:27 AM:  StartOrocess: mysqldump.exe
230=18/03/2010 11:35:27 AM:  CheckSchedules
231=18/03/2010 11:35:27 AM:  Processor: 23
232=18/03/2010 11:35:28 AM:  Checking port: 3724
233=18/03/2010 11:35:28 AM:  ReportPort: 3724 - True
234=18/03/2010 11:35:28 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
235=18/03/2010 11:35:28 AM:  Backing up Realm Database.
236=18/03/2010 11:35:28 AM:  StartBackup: realmd
237=18/03/2010 11:35:28 AM:  PurgeOldBackup: realmd
238=18/03/2010 11:35:28 AM:  StartOrocess: mysqldump.exe
239=18/03/2010 11:35:28 AM:  CheckSchedules
240=18/03/2010 11:35:28 AM:  Processor: 99
242=18/03/2010 11:35:28 AM:  ReportPort: 8085 - True
243=18/03/2010 11:35:29 AM:  CheckServerStatus
244=18/03/2010 11:35:29 AM:  Backing up Characters Database for Realm: Freq WoW
245=18/03/2010 11:35:29 AM:  StartBackup: characters
246=18/03/2010 11:35:29 AM:  PurgeOldBackup: characters
247=18/03/2010 11:35:29 AM:  StartOrocess: mysqldump.exe
248=18/03/2010 11:35:29 AM:  Backing up Realm Database.
249=18/03/2010 11:35:29 AM:  StartBackup: realmd
250=18/03/2010 11:35:29 AM:  PurgeOldBackup: realmd
251=18/03/2010 11:35:29 AM:  StartOrocess: mysqldump.exe
252=18/03/2010 11:35:29 AM:  CheckSchedules
253=18/03/2010 11:35:29 AM:  Processor: 100
254=18/03/2010 11:35:30 AM:  CheckServerStatus
255=18/03/2010 11:35:30 AM:  StartBackup: realmdaccount realmcharacters realmlist ip_banned
256=18/03/2010 11:35:30 AM:  PurgeOldBackup: realmdaccount realmcharacters realmlist ip_banned
257=18/03/2010 11:35:30 AM:  StartOrocess: mysqldump.exe
258=18/03/2010 11:35:30 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
259=18/03/2010 11:35:30 AM:  Backing up Realm Database.
260=18/03/2010 11:35:30 AM:  StartBackup: realmd
261=18/03/2010 11:35:30 AM:  PurgeOldBackup: realmd
262=18/03/2010 11:35:30 AM:  StartOrocess: mysqldump.exe
263=18/03/2010 11:35:31 AM:  CheckSchedules
264=18/03/2010 11:35:31 AM:  Processor: 100
265=18/03/2010 11:35:31 AM:  CheckServerStatus
266=18/03/2010 11:35:31 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
267=18/03/2010 11:35:32 AM:  CheckSchedules
268=18/03/2010 11:35:32 AM:  Processor: 100
269=18/03/2010 11:35:32 AM:  Backing up Character Tables for: Freq WoW
270=18/03/2010 11:35:32 AM:  StartBackup: charactersCharacters
271=18/03/2010 11:35:32 AM:  PurgeOldBackup: charactersCharacters
272=18/03/2010 11:35:32 AM:  StartOrocess: mysqldump.exe
273=18/03/2010 11:35:32 AM:  CheckServerStatus
274=18/03/2010 11:35:33 AM:  CheckSchedules
275=18/03/2010 11:35:33 AM:  Processor: 92
276=18/03/2010 11:35:33 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
277=18/03/2010 11:35:33 AM:  CheckServerStatus
278=18/03/2010 11:35:33 AM:  END: GetNumOnline
279=18/03/2010 11:35:33 AM:  START: EventFinishedCountingOnlineAccounts
280=18/03/2010 11:35:33 AM:  END: EventFinishedCountingOnlineAccounts
281=18/03/2010 11:35:34 AM:  CheckSchedules
282=18/03/2010 11:35:34 AM:  Processor: 100
283=18/03/2010 11:35:34 AM:  Checking port: 3724
284=18/03/2010 11:35:34 AM:  ReportPort: 3724 - True
285=18/03/2010 11:35:34 AM:  START: GetNumAccounts
286=18/03/2010 11:35:34 AM:  END: GetNumAccounts
287=18/03/2010 11:35:34 AM:  START: EventFinishedCountingAccounts: 10:10
288=18/03/2010 11:35:34 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
290=18/03/2010 11:35:34 AM:  Checking port: 8085
291=18/03/2010 11:35:34 AM:  ReportPort: 8085 - True
292=18/03/2010 11:35:35 AM:  CheckSchedules
293=18/03/2010 11:35:35 AM:  Processor: 100
294=18/03/2010 11:35:36 AM:  CheckSchedules
295=18/03/2010 11:35:36 AM:  Processor: 100
296=18/03/2010 11:35:36 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
297=18/03/2010 11:35:36 AM:  CheckServerStatus
298=18/03/2010 11:35:37 AM:  CheckSchedules
299=18/03/2010 11:35:37 AM:  Processor: 55
300=18/03/2010 11:35:37 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
301=18/03/2010 11:35:38 AM:  CheckSchedules
302=18/03/2010 11:35:38 AM:  Processor: 2
303=18/03/2010 11:35:38 AM:  END: GetNumOnline
304=18/03/2010 11:35:38 AM:  START: EventFinishedCountingOnlineAccounts
305=18/03/2010 11:35:38 AM:  END: EventFinishedCountingOnlineAccounts
306=18/03/2010 11:35:39 AM:  CheckSchedules
307=18/03/2010 11:35:39 AM:  Processor: 6
308=18/03/2010 11:35:39 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
309=18/03/2010 11:35:40 AM:  CheckSchedules
310=18/03/2010 11:35:40 AM:  Processor: 2
311=18/03/2010 11:35:40 AM:  Checking port: 3724
312=18/03/2010 11:35:40 AM:  ReportPort: 3724 - True
313=18/03/2010 11:35:40 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
314=18/03/2010 11:35:40 AM:  Checking port: 8085
315=18/03/2010 11:35:40 AM:  ReportPort: 8085 - True
316=18/03/2010 11:35:41 AM:  CheckSchedules
317=18/03/2010 11:35:41 AM:  Processor: 5
318=18/03/2010 11:35:42 AM:  CheckSchedules
319=18/03/2010 11:35:42 AM:  Processor: 2
320=18/03/2010 11:35:42 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
321=18/03/2010 11:35:43 AM:  CheckSchedules
322=18/03/2010 11:35:43 AM:  Processor: 0
323=18/03/2010 11:35:43 AM:  END: GetNumOnline
324=18/03/2010 11:35:43 AM:  START: EventFinishedCountingOnlineAccounts
325=18/03/2010 11:35:43 AM:  END: EventFinishedCountingOnlineAccounts
326=18/03/2010 11:35:43 AM:  START: GetNumAccounts
327=18/03/2010 11:35:43 AM:  END: GetNumAccounts
329=18/03/2010 11:35:43 AM:  START: EventFinishedCountingAccounts: 10:10
330=18/03/2010 11:35:43 AM:  END: EventFinishedCountingAccounts: 10:10
331=18/03/2010 11:35:44 AM:  CheckSchedules
332=18/03/2010 11:35:44 AM:  Processor: 2
333=18/03/2010 11:35:45 AM:  CheckSchedules
334=18/03/2010 11:35:45 AM:  Processor: 4
335=18/03/2010 11:35:45 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
336=18/03/2010 11:35:46 AM:  CheckSchedules
337=18/03/2010 11:35:46 AM:  Processor: 2
338=18/03/2010 11:35:46 AM:  Checking port: 3724
339=18/03/2010 11:35:46 AM:  ReportPort: 3724 - True
340=18/03/2010 11:35:46 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
341=18/03/2010 11:35:46 AM:  Checking port: 8085
342=18/03/2010 11:35:46 AM:  ReportPort: 8085 - True
343=18/03/2010 11:35:47 AM:  CheckSchedules
344=18/03/2010 11:35:47 AM:  Processor: 5
345=18/03/2010 11:35:48 AM:  CheckSchedules
346=18/03/2010 11:35:48 AM:  Processor: 3
347=18/03/2010 11:35:48 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
348=18/03/2010 11:35:48 AM:  END: GetNumOnline
349=18/03/2010 11:35:48 AM:  START: EventFinishedCountingOnlineAccounts
350=18/03/2010 11:35:48 AM:  END: EventFinishedCountingOnlineAccounts
351=18/03/2010 11:35:49 AM:  CheckSchedules
352=18/03/2010 11:35:49 AM:  Processor: 5
353=18/03/2010 11:35:49 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
354=18/03/2010 11:35:50 AM:  CheckSchedules
355=18/03/2010 11:35:50 AM:  Processor: 4
356=18/03/2010 11:35:51 AM:  CheckSchedules
357=18/03/2010 11:35:51 AM:  Processor: 1
358=18/03/2010 11:35:51 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
359=18/03/2010 11:35:52 AM:  CheckSchedules
360=18/03/2010 11:35:52 AM:  Processor: 5
361=18/03/2010 11:35:52 AM:  Checking port: 3724
362=18/03/2010 11:35:52 AM:  ReportPort: 3724 - True
363=18/03/2010 11:35:52 AM:  START: GetNumAccounts
364=18/03/2010 11:35:52 AM:  END: GetNumAccounts
365=18/03/2010 11:35:52 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
366=18/03/2010 11:35:52 AM:  START: EventFinishedCountingAccounts: 10:10
367=18/03/2010 11:35:52 AM:  END: EventFinishedCountingAccounts: 10:10
368=18/03/2010 11:35:52 AM:  Checking port: 8085
369=18/03/2010 11:35:52 AM:  ReportPort: 8085 - True
370=18/03/2010 11:35:53 AM:  CheckSchedules
371=18/03/2010 11:35:53 AM:  Processor: 5
372=18/03/2010 11:35:53 AM:  END: GetNumOnline
373=18/03/2010 11:35:53 AM:  START: EventFinishedCountingOnlineAccounts
374=18/03/2010 11:35:53 AM:  END: EventFinishedCountingOnlineAccounts
375=18/03/2010 11:35:54 AM:  CheckSchedules
376=18/03/2010 11:35:54 AM:  Processor: 5
377=18/03/2010 11:35:54 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
378=18/03/2010 11:35:55 AM:  CheckSchedules
379=18/03/2010 11:35:55 AM:  Processor: 7
380=18/03/2010 11:35:55 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
381=18/03/2010 11:35:56 AM:  CheckSchedules
382=18/03/2010 11:35:56 AM:  Processor: 5
383=18/03/2010 11:35:57 AM:  CheckSchedules
384=18/03/2010 11:35:57 AM:  Processor: 5
385=18/03/2010 11:35:57 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
386=18/03/2010 11:35:58 AM:  CheckSchedules
387=18/03/2010 11:35:58 AM:  Processor: 7
388=18/03/2010 11:35:58 AM:  Checking port: 3724
389=18/03/2010 11:35:58 AM:  ReportPort: 3724 - True
390=18/03/2010 11:35:58 AM:  END: GetNumOnline
391=18/03/2010 11:35:58 AM:  START: EventFinishedCountingOnlineAccounts
